Title,Slug,Year,Description,ArtistName,Genres,ImageUrl
The Car,the-car,2022,"The Car is an album by Arctic Monkeys released in 2022.",Arctic Monkeys,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/43048a85-4186-4beb-a21e-a96011c2ae53-the_car.jpg"
Eric Clapton,eric-clapton,1970,"Eric Clapton is an album by Eric Clapton released in 1970.",Eric Clapton,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/240d49e0-4567-432c-a5d1-4380b8c5afea-eric_clapton.jpg"
461 Ocean Boulevard,461-ocean-boulevard,1974,"461 Ocean Boulevard is an album by Eric Clapton released in 1974.",Eric Clapton,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/86eaca88-81dc-4377-b822-69d1860bbeb5-461_ocean_boulevard.jpg"
There's One In Every Crowd,theres-one-in-every-crowd,1975,"There's One In Every Crowd is an album by Eric Clapton released in 1975.",Eric Clapton,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/44263f82-6de8-4398-ad81-f025c77021e6-theres_one_in_every_crowd.jpg"
Truth,truth,1968,"Truth is an album by Jeff Beck released in 1968.",Jeff Beck,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/40dd0d02-f168-41ec-a5a6-8388ab4e82b2-truth.jpg"
Beck-Ola,beck-ola,1969,"Beck-Ola is an album by Jeff Beck released in 1969.",Jeff Beck,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/78acfbfc-d104-478b-bc5f-5e9db273f054-beckola.jpg"
Rough and Ready,rough-and-ready,1971,"Rough and Ready is an album by Jeff Beck released in 1971.",Jeff Beck,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/3c65a6e7-2889-415d-a027-0d56a7dc48a7-rough_and_ready.jpg"
On Time,on-time,1969,"On Time is an album by Grand Funk Railroad released in 1969.",Grand Funk Railroad,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/1e580e65-d6aa-4d94-8fdb-ed2f88ced8d3-on_time.jpg"
Closer to Home,closer-to-home,1970,"Closer to Home is an album by Grand Funk Railroad released in 1970.",Grand Funk Railroad,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/f73be98c-cf46-4dee-87bb-7e34e8b53b42-closer_to_home.jpg"
Ritchie Blackmore's Rainbow,ritchie-blackmores-rainbow,1975,"Ritchie Blackmore's Rainbow is an album by Rainbow released in 1975.",Rainbow,Hard Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/fb170fe4-529f-4682-b5c1-eb000baec44e-ritchie_blackmores_rainbow.jpg"
Wonderwall Music,wonderwall-music,1968,"Wonderwall Music is an album by George Harrison released in 1968.",George Harrison,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/edcf058a-19e9-4722-9d46-b75e6bf8829d-wonderwall_music.jpg"
Electronic Sound,electronic-sound,1969,"Electronic Sound is an album by George Harrison released in 1969.",George Harrison,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/2d7fca1a-8969-4695-9324-e64f18da1257-electronic_sound.jpg"
Tokyo Rendez-Vous,tokyo-rendez-vous,2017,"Tokyo Rendez-Vous is an album by King Gnu released in 2017.",King Gnu,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/d35c3080-c68e-4099-886a-b04536b0b07c-tokyo_rendezvous.jpg"
MOON GOLD,moon-gold,1991,"MOON GOLD is an album by the pillows released in 1991.",the pillows,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/5ede62db-eed8-4e02-853b-0dd1e1fe2fea-moon_gold.jpg"
ホワイト インカーネイション,-,1992,"ホワイト インカーネイション is an album by the pillows released in 1992.",the pillows,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/c092e519-781d-4e8b-9aa9-a112f6c8cd81-.jpg"
KOOL SPICE,kool-spice,1994,"KOOL SPICE is an album by the pillows released in 1994.",the pillows,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/978de83b-6a78-43b7-aabd-e3381e0986fd-kool_spice.jpg"
Can Not Behaved!!,can-not-behaved,2014,"Can Not Behaved!! is an album by WANIMA released in 2014.",WANIMA,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/0be6200e-b5c7-4b12-826f-0737b0095e75-can_not_behaved.jpg"
Are You Coming?,are-you-coming,2015,"Are You Coming? is an album by WANIMA released in 2015.",WANIMA,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/d7b3f497-00a1-497b-a3bd-9cbb4d9caa98-are_you_coming.jpg"
Songs for Young Lovers,songs-for-young-lovers,1954,"Songs for Young Lovers is an album by Frank Sinatra released in 1954.",Frank Sinatra,Vocal Pop,"https://d1mcd66l4tbl1o.cloudfront.net/releases/5b9be998-235a-4a6f-b286-77943939942b-songs_for_young_lovers.jpg"
Rhythm In My Nursery Rhymes,rhythm-in-my-nursery-rhymes,1937,"Rhythm In My Nursery Rhymes is an album by Count Basie released in 1937.",Count Basie,Jazz,"https://d1mcd66l4tbl1o.cloudfront.net/releases/9220a619-6a3b-4ef4-95b0-216cdbc1f51e-rhythm_in_my_nursery_rhymes.jpg"
